iyear,imonth,iday,region_txt,country_txt,latitude,longitude,nwound,nkill
2000,9,4,South America,Colombia,6.242026,-75.564766,0.0,0.0
2000,9,4,South America,Colombia,6.270526,-75.572173,0.0,0.0
2000,9,4,South America,Colombia,6.17215,-75.609571,0.0,0.0
2000,9,4,South America,Colombia,6.17215,-75.609571,0.0,0.0
2000,9,4,South America,Colombia,6.17215,-75.609571,0.0,0.0
2000,9,4,South America,Colombia,6.34593,-75.50811,0.0,0.0
2000,9,4,South America,Colombia,6.34593,-75.50811,0.0,0.0
2000,9,4,South America,Colombia,6.34053,-75.562227,0.0,0.0
2000,9,4,South America,Colombia,6.37728,-75.44612,0.0,0.0
2000,8,30,South America,Colombia,5.13083,-74.15825,0.0,0.0
2000,9,5,South America,Brazil,-23.545751,-46.659943,0.0,0.0
2000,9,6,North America,United States,44.045558,-123.080222,0.0,0.0
2000,9,7,South America,Colombia,3.88182,-77.07042,0.0,7.0
2000,9,9,North America,United States,39.16659,-86.534244,0.0,0.0
2000,9,13,South America,Colombia,6.931857,-71.157523,0.0,0.0
2000,9,13,South America,Colombia,6.2675,-75.568611,0.0,0.0
2000,9,17,South America,Colombia,3.429344,-76.516037,0.0,0.0
2000,9,19,North America,Canada,49.887952,-119.496011,2.0,0.0
2000,9,23,South America,Colombia,1.14661,-76.64812,0.0,0.0
2000,9,25,South America,Colombia,1.14661,-76.64812,0.0,0.0
2000,10,1,South America,Colombia,5.337522,-75.729304,0.0,0.0
2000,10,1,South America,Colombia,7.32234,-73.01493,0.0,0.0
2000,10,5,South America,Colombia,10.981412,-74.778319,0.0,1.0
2000,10,6,South America,Colombia,6.270526,-75.572173,0.0,0.0
2000,10,7,South America,Colombia,3.429344,-76.516037,7.0,0.0
2000,10,7,South America,Colombia,3.429344,-76.516037,0.0,0.0
2000,10,7,South America,Colombia,3.429344,-76.516037,0.0,0.0
2000,10,7,South America,Colombia,3.429344,-76.516037,0.0,0.0
2000,10,12,South America,Ecuador,-0.879091,-76.085601,0.0,0.0
2000,10,15,South America,Colombia,6.43711,-75.3313,0.0,11.0
2000,10,20,North America,United States,33.44826,-112.075774,0.0,0.0
2000,10,22,South America,Colombia,3.86647,-74.417001,0.0,0.0
2000,10,28,South America,Colombia,8.43557,-73.28742,0.0,1.0
2000,10,29,South America,Peru,-16.741855,-69.716499,0.0,0.0
2000,11,1,North America,Canada,53.543564,-113.490452,0.0,0.0
2000,11,1,North America,Canada,53.543564,-113.490452,0.0,0.0
2000,11,2,South America,Colombia,7.39002,-73.50099,0.0,0.0
2000,11,3,South America,Colombia,7.198606,-75.341218,5.0,19.0
2000,11,14,South America,Colombia,3.429344,-76.516037,1.0,1.0
2000,11,14,South America,Colombia,3.429344,-76.516037,8.0,0.0
2000,11,18,South America,Colombia,0.49765,-76.49768,17.0,1.0
